pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,858,0,0,0,858
2,0,2005112,2004724,0,0,388
3,0,3996077,3995676,0,0,400
4,0,5996937,5996557,0,0,379
5,0,7999740,7999329,0,0,411
6,0,10002821,10002449,0,0,372
7,0,12005095,12004696,0,0,398
8,0,14007889,14007510,0,0,379
9,0,16009343,16008964,0,0,378
10,0,18010471,18010092,0,0,379
11,0,20013087,20012674,0,0,413
12,0,22016490,22016091,0,0,399
13,0,24018443,24018032,0,0,411
14,0,26019620,26019233,0,0,386
15,0,28021551,28021138,0,0,413
16,0,30023765,30023366,0,0,398
17,0,32026517,32026123,0,0,394
18,0,34029799,34029416,0,0,382
19,0,36033078,36032674,0,0,404
20,0,38034049,38033640,0,0,408
21,0,40035553,40035173,0,0,379
22,0,42037289,42036886,0,0,402
23,0,44039231,44038835,0,0,395
24,0,46041739,46041346,0,0,393
25,0,48044046,48043644,0,0,402
26,0,50046250,50045880,0,0,370
27,0,52048424,52048041,0,0,382
28,0,54050321,54049937,0,0,384
29,0,56052493,56052111,0,0,382
30,0,58055155,58054773,0,0,382
31,0,60057098,60056703,0,0,395
32,0,62059373,62058988,0,0,384
33,0,64061533,64061152,0,0,381
34,0,66064233,66063854,0,0,378
35,0,68068387,68068008,0,0,378
36,0,70068554,70068186,0,0,368
37,0,72080572,72080192,0,0,379
38,0,74072546,74072173,0,0,373
39,0,76074970,76074569,0,0,400
40,0,78076903,78076519,0,0,384
41,0,80090997,80090615,0,0,382
42,0,82083704,82083321,0,0,383
43,0,84083540,84083150,0,0,390
44,0,86086411,86086040,0,0,370
45,0,88088291,88087912,0,0,378
46,0,90090801,90090404,0,0,396
47,0,92092714,92092363,0,0,350
48,0,94095361,94094985,0,0,376
49,0,96097877,96097516,0,0,360
50,0,98099202,98098823,0,0,378
51,0,100101781,100101408,0,0,372
52,0,102103556,102103137,0,0,418
53,0,104105743,104105355,0,0,388
54,0,106108087,106107710,0,0,377
55,0,108111479,108111096,0,0,382
56,0,110112435,110112028,0,0,406
57,0,112114462,112114068,0,0,394
58,0,114116895,114116486,0,0,408
59,0,116118907,116118486,0,0,420
60,0,118122335,118121922,0,0,413
61,0,120124604,120124229,0,0,374
62,0,122125846,122125445,0,0,400
63,0,124128220,124127828,0,0,391
64,0,126130399,126130026,0,0,373
65,0,128132454,128132089,0,0,365
66,0,130134849,130134474,0,0,375
67,0,132136991,132136613,0,0,378
68,0,134139406,134139049,0,0,357
69,0,136141264,136140871,0,0,393
