pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,110,0,0,0,110
2,0,2003842,2003739,0,0,103
3,0,3995744,3995613,0,0,131
4,0,5998287,5998171,0,0,115
5,0,8000343,8000220,0,0,122
6,0,10002545,10002460,0,0,84
7,0,12004703,12004595,0,0,107
8,0,14007053,14006963,0,0,90
9,0,16009186,16009077,0,0,108
10,0,18011149,18011048,0,0,101
11,0,20012771,20012658,0,0,112
12,0,22016350,22016238,0,0,112
13,0,24018454,24018316,0,0,137
14,0,26020559,26020433,0,0,125
15,0,28022926,28022804,0,0,122
16,0,30025004,30024889,0,0,114
17,0,32027064,32026943,0,0,121
18,0,34028890,34028790,0,0,100
19,0,36030099,36030006,0,0,92
20,0,38035400,38035296,0,0,103
21,0,40036007,40035900,0,0,107
22,0,42039195,42039107,0,0,87
23,0,44041282,44041171,0,0,110
24,0,46043006,46042883,0,0,123
25,0,48044954,48044821,0,0,132
26,0,50046794,50046678,0,0,116
27,0,52048017,52047870,0,0,147
28,0,54050876,54050773,0,0,102
29,0,56054406,56054280,0,0,126
30,0,58056089,58055962,0,0,126
31,0,60058076,60057941,0,0,134
32,0,62059319,62059170,0,0,148
33,0,64063241,64063085,0,0,156
34,0,66064303,66064182,0,0,121
35,0,68065561,68065428,0,0,132
36,0,70068224,70068083,0,0,140
37,0,72070555,72070418,0,0,136
38,0,74073094,74072948,0,0,145
39,0,76075762,76075624,0,0,137
40,0,78078388,78078244,0,0,143
41,0,80080164,80080043,0,0,121
42,0,82081200,82081123,0,0,77
43,0,84083626,84083512,0,0,114
44,0,86086022,86085917,0,0,104
45,0,88088144,88088011,0,0,132
46,0,90090312,90090209,0,0,102
47,0,92092863,92092815,0,0,48
48,0,94095700,94095734,0,0,-33
49,0,96097159,96097014,0,0,145
50,0,98098966,98098857,0,0,108
51,0,100101280,100101168,0,0,111
52,0,102103741,102103624,0,0,116
53,0,104105807,104105694,0,0,112
54,0,106108724,106108621,0,0,103
55,0,108111497,108111367,0,0,130
56,0,110112180,110112036,0,0,143
57,0,112114855,112114717,0,0,137
58,0,114117885,114117761,0,0,124
59,0,116121646,116121508,0,0,137
60,0,118121605,118121505,0,0,100
61,0,120123779,120123631,0,0,148
62,0,122126357,122126234,0,0,123
63,0,124128154,124128042,0,0,111
64,0,126130117,126129996,0,0,121
65,0,128132277,128132160,0,0,116
66,0,130134305,130134339,0,0,-33
67,0,132136866,132136859,0,0,6
68,0,134139442,134139321,0,0,121
69,0,136141452,136141338,0,0,114
70,0,138143609,138143492,0,0,117
71,0,140145614,140145455,0,0,159
72,0,142147674,142147519,0,0,155
73,0,144149820,144149679,0,0,141
74,0,146152188,146152087,0,0,101
75,0,148154860,148154716,0,0,144
76,0,150157532,150157393,0,0,138
77,0,152160164,152160029,0,0,134
78,0,154162689,154162538,0,0,150
79,0,156163701,156163570,0,0,131
80,0,158166339,158166284,0,0,54
81,0,160168274,160168149,0,0,124
82,0,162169669,162169623,0,0,45
83,0,164174054,164173934,0,0,119
84,0,166175665,166175631,0,0,34
85,0,168178244,168178515,0,0,-271
86,0,170178996,170178913,0,0,83
87,0,172180997,172180892,0,0,104
88,0,174184357,174184250,0,0,107
89,0,176186786,176186669,0,0,116
90,0,178187816,178187728,0,0,87
91,0,180190017,180189896,0,0,121
92,0,182192885,182192780,0,0,104
93,0,184195239,184195121,0,0,118
94,0,186197667,186197590,0,0,76
95,0,188200419,188200301,0,0,117
96,0,190201490,190201382,0,0,108
97,0,192203422,192203293,0,0,129
98,0,194207199,194207094,0,0,104
99,0,196207898,196207793,0,0,104
100,0,198211148,198211035,0,0,112
101,0,200213671,200213557,0,0,114
