pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,8,0,0,0,8
2,0,2004900,2004885,0,0,15
3,0,4001680,4001641,0,0,38
4,0,6002424,6002393,0,0,31
5,0,8004961,8004968,0,0,-6
6,0,10007177,10007137,0,0,40
7,0,12009741,12009707,0,0,33
8,0,14012914,14012905,0,0,9
9,0,16014027,16013997,0,0,30
10,0,18016164,18016154,0,0,10
11,0,20018718,20018691,0,0,26
12,0,22021890,22021884,0,0,6
13,0,24022430,24022478,0,0,-48
14,0,26025352,26025385,0,0,-32
15,0,28028182,28028160,0,0,21
16,0,30029737,30029743,0,0,-6
17,0,32033595,32033630,0,0,-35
18,0,34035611,34035631,0,0,-20
19,0,36038096,36038152,0,0,-55
20,0,38038481,38038426,0,0,55
21,0,40040910,40040893,0,0,17
22,0,42044114,42044092,0,0,21
23,0,44046382,44046417,0,0,-34
24,0,46048237,46048231,0,0,5
25,0,48049300,48049354,0,0,-53
26,0,50052023,50052048,0,0,-24
27,0,52054976,52054956,0,0,20
28,0,54055939,54055924,0,0,15
29,0,56058441,56058486,0,0,-44
30,0,58060893,58060874,0,0,18
31,0,60064197,60064227,0,0,-29
32,0,62065912,62065893,0,0,18
33,0,64067418,64067444,0,0,-26
34,0,66069292,66069324,0,0,-31
35,0,68071411,68071343,0,0,67
36,0,70073800,70073752,0,0,47
37,0,72077136,72077098,0,0,38
38,0,74078045,74078015,0,0,29
39,0,76080153,76080098,0,0,55
40,0,78082540,78082494,0,0,45
41,0,80084692,80084670,0,0,22
42,0,82087158,82087152,0,0,6
43,0,84089016,84089006,0,0,9
44,0,86091314,86091325,0,0,-11
45,0,88093840,88093821,0,0,18
46,0,90095737,90095729,0,0,8
47,0,92099314,92099363,0,0,-49
48,0,94099952,94100039,0,0,-86
49,0,96102795,96102779,0,0,15
50,0,98104932,98104912,0,0,20
51,0,100107105,100107079,0,0,25
52,0,102109283,102109242,0,0,41
53,0,104111747,104111721,0,0,26
54,0,106113669,106113624,0,0,44
55,0,108116824,108116779,0,0,45
56,0,110118185,110118125,0,0,59
57,0,112121054,112121025,0,0,29
58,0,114123457,114123408,0,0,48
59,0,116124853,116124820,0,0,33
60,0,118126947,118126901,0,0,46
61,0,120129347,120129332,0,0,15
62,0,122131309,122131271,0,0,37
63,0,124133978,124133952,0,0,25
64,0,126135778,126135788,0,0,-10
65,0,128138449,128138461,0,0,-11
66,0,130140049,130140063,0,0,-14
67,0,132142643,132142605,0,0,38
68,0,134144704,134144672,0,0,31
69,0,136147343,136147310,0,0,33
70,0,138148995,138149032,0,0,-36
71,0,140151845,140151871,0,0,-26
72,0,142154267,142154165,0,0,101
73,0,144157136,144157106,0,0,29
74,0,146158060,146158017,0,0,42
75,0,148160618,148160635,0,0,-16
76,0,150162685,150162673,0,0,11
77,0,152165067,152165114,0,0,-47
78,0,154167296,154167258,0,0,38
79,0,156169505,156169391,0,0,114
80,0,158171599,158171572,0,0,26
81,0,160174458,160174471,0,0,-13
82,0,162177800,162177786,0,0,13
83,0,164177957,164177909,0,0,48
84,0,166180817,166180810,0,0,6
85,0,168182640,168182667,0,0,-26
86,0,170184959,170184949,0,0,10
87,0,172187155,172187173,0,0,-17
88,0,174189821,174189809,0,0,11
89,0,176192494,176192469,0,0,24
90,0,178194794,178194757,0,0,36
91,0,180197222,180197188,0,0,33
92,0,182198253,182198266,0,0,-13
93,0,184200745,184200714,0,0,31
94,0,186202851,186202888,0,0,-36
95,0,188205660,188205689,0,0,-29
96,0,190208720,190208683,0,0,37
97,0,192210619,192210579,0,0,39
98,0,194211703,194211694,0,0,8
99,0,196213600,196213575,0,0,24
100,0,198217307,198217247,0,0,60
101,0,200219018,200218979,0,0,38
102,0,202220259,202220220,0,0,38
103,0,204222582,204222534,0,0,47
104,0,206224943,206224927,0,0,15
