pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,27,0,0,0,27
2,0,2003578,2003620,0,0,-42
3,0,3995759,3995746,0,0,13
5,0,7999242,7999256,0,0,-13
7,0,12003462,12003405,0,0,57
8,0,14006519,14006478,0,0,41
9,0,16007682,16007653,0,0,29
10,0,18009838,18009849,0,0,-11
13,0,24016829,24016781,0,0,48
15,0,28022022,28022017,0,0,5
16,0,30023994,30024008,0,0,-14
18,0,34029857,34029815,0,0,42
19,0,36030411,36030368,0,0,42
20,0,38033078,38033069,0,0,8
21,0,40034210,40034233,0,0,-22
22,0,42036697,42036648,0,0,49
23,0,44039222,44039183,0,0,39
25,0,48043361,48043307,0,0,53
27,0,52048067,52048020,0,0,47
28,0,54051319,54051293,0,0,25
29,0,56052597,56052559,0,0,38
30,0,58055595,58055569,0,0,25
33,0,64062052,64062029,0,0,22
35,0,68065192,68065147,0,0,44
36,0,70067898,70067885,0,0,13
38,0,74072961,74072935,0,0,26
39,0,76074148,76074104,0,0,43
40,0,78076382,78076403,0,0,-21
41,0,80078786,80078743,0,0,43
42,0,82081342,82081300,0,0,42
43,0,84082735,84082772,0,0,-36
45,0,88087209,88087210,0,0,0
47,0,92092979,92092955,0,0,24
48,0,94094846,94094914,0,0,-67
49,0,96096141,96096170,0,0,-29
50,0,98098779,98098771,0,0,7
53,0,104104229,104104274,0,0,-45
55,0,108110422,108110426,0,0,-4
56,0,110111961,110111925,0,0,35
58,0,114117040,114117014,0,0,25
59,0,116118480,116118435,0,0,44
60,0,118121468,118121444,0,0,23
61,0,120122959,120122917,0,0,42
62,0,122125314,122125262,0,0,51
63,0,124127651,124127690,0,0,-39
65,0,128132298,128132341,0,0,-42
67,0,132136096,132136085,0,0,11
68,0,134137719,134137667,0,0,51
69,0,136141348,136141322,0,0,25
70,0,138143167,138143155,0,0,11
73,0,144150073,144150076,0,0,-3
75,0,148154532,148154503,0,0,29
76,0,150157031,150157026,0,0,4
78,0,154160591,154160554,0,0,36
79,0,156162348,156162355,0,0,-6
80,0,158165124,158165114,0,0,9
81,0,160166732,160166693,0,0,38
82,0,162169919,162169890,0,0,29
83,0,164172078,164172044,0,0,33
85,0,168176453,168176431,0,0,22
87,0,172180292,172180256,0,0,35
88,0,174182136,174182095,0,0,40
89,0,176185303,176185259,0,0,43
90,0,178188122,178188092,0,0,29
93,0,184194588,184194541,0,0,47
95,0,188198748,188198687,0,0,61
96,0,190201213,190201175,0,0,38
98,0,194205638,194205602,0,0,35
99,0,196207467,196207429,0,0,37
100,0,198210146,198210134,0,0,11
101,0,200212070,200212022,0,0,48
102,0,202214101,202214124,0,0,-22
103,0,204216529,204216482,0,0,47
105,0,208220746,208220757,0,0,-11
107,0,212225373,212225359,0,0,13
108,0,214227932,214227892,0,0,39
109,0,216229712,216229657,0,0,54
110,0,218231748,218231723,0,0,24
113,0,224237497,224237561,0,0,-63
115,0,228242952,228242908,0,0,43
116,0,230245815,230245802,0,0,13
118,0,234250278,234250235,0,0,42
119,0,236252147,236252130,0,0,17
120,0,238254350,238254306,0,0,43
121,0,240256415,240256396,0,0,18
122,0,242259000,242258990,0,0,10
123,0,244261241,244261220,0,0,21
125,0,248264599,248264582,0,0,16
127,0,252270081,252270051,0,0,30
128,0,254273352,254273345,0,0,6
129,0,256274182,256274173,0,0,8
130,0,258276824,258276815,0,0,8
133,0,264283364,264283336,0,0,28
135,0,268287845,268287856,0,0,-11
136,0,270290247,270290221,0,0,25
138,0,274294615,274294661,0,0,-46
139,0,276296617,276296601,0,0,16
140,0,278299290,278299282,0,0,8
141,0,280301053,280301038,0,0,15
142,0,282303362,282303337,0,0,24
143,0,284306065,284306049,0,0,15
145,0,288309819,288309809,0,0,9
147,0,292315995,292315975,0,0,19
148,0,294316730,294316741,0,0,-11
149,0,296318300,296318292,0,0,8
150,0,298320805,298320761,0,0,44
153,0,304326677,304326638,0,0,38
155,0,308332620,308332571,0,0,49
156,0,310334594,310334557,0,0,37
158,0,314339083,314339012,0,0,70
159,0,316341441,316341393,0,0,47
160,0,318342912,318342903,0,0,8
161,0,320344654,320344620,0,0,33
162,0,322348171,322348109,0,0,62
163,0,324350284,324350240,0,0,43
165,0,328354068,328354079,0,0,-11
167,0,332358635,332358606,0,0,29
168,0,334361766,334361775,0,0,-8
169,0,336362880,336362913,0,0,-32
170,0,338364519,338364505,0,0,13
173,0,344371884,344371853,0,0,31
175,0,348376814,348376800,0,0,14
176,0,350379038,350379019,0,0,19
178,0,32026784,32026755,0,0,29
179,0,356385820,356385780,0,0,40
180,0,358388375,358388369,0,0,5
181,0,360390007,360389973,0,0,33
182,0,362392193,362392204,0,0,-11
183,0,364394800,364394748,0,0,51
185,0,368399139,368399161,0,0,-22
187,0,372403143,372403170,0,0,-26
188,0,374406064,374406031,0,0,32
189,0,376407853,376407807,0,0,46
190,0,378409541,378409458,0,0,83
193,0,384416959,384416951,0,0,7
195,0,388420957,388420918,0,0,39
196,0,390423499,390423456,0,0,43
198,0,394427923,394427880,0,0,42
199,0,396430212,396430175,0,0,37
200,0,398432516,398432459,0,0,57
201,0,400434638,400434603,0,0,34
202,0,402437901,402437856,0,0,44
203,0,404439632,404439670,0,0,-38
205,0,408444709,408444696,0,0,13
207,0,412447716,412447734,0,0,-18
208,0,414450083,414450138,0,0,-55
209,0,416452579,416452543,0,0,36
210,0,418455378,418455355,0,0,22
213,0,424460899,424460918,0,0,-18
215,0,428466773,428466793,0,0,-20
216,0,430467824,430467839,0,0,-15
218,0,434471028,434470993,0,0,34
219,0,436473773,436473795,0,0,-21
220,0,438478074,438478087,0,0,-13
221,0,440479269,440479278,0,0,-8
222,0,442481253,442481221,0,0,31
223,0,444484128,444484107,0,0,20
225,0,448487664,448487641,0,0,22
227,0,452491736,452491723,0,0,12
228,0,454493965,454493914,0,0,50
229,0,456496269,456496306,0,0,-36
230,0,458498045,458498071,0,0,-26
233,0,464505374,464505383,0,0,-8
235,0,468510175,468510140,0,0,35
236,0,470512287,470512303,0,0,-15
238,0,474517189,474517242,0,0,-52
239,0,476519132,476519150,0,0,-17
240,0,478521525,478521517,0,0,8
241,0,480522941,480522887,0,0,54
242,0,482524816,482524762,0,0,53
243,0,484527985,484527946,0,0,39
245,0,488532688,488532679,0,0,8
247,0,492538130,492538148,0,0,-17
248,0,494539392,494539355,0,0,36
249,0,496541963,496541933,0,0,29
250,0,498544126,498544159,0,0,-32
253,0,504550588,504550599,0,0,-10
255,0,508554287,508554253,0,0,33
256,0,510557046,510557056,0,0,-9
258,0,514561009,514560974,0,0,35
259,0,516562381,516562413,0,0,-32
260,0,518565672,518565698,0,0,-26
261,0,520567684,520567675,0,0,8
262,0,522569411,522569395,0,0,15
263,0,524572941,524572903,0,0,37
265,0,528576228,528576217,0,0,10
267,0,532581529,532581504,0,0,24
268,0,534583700,534583667,0,0,32
269,0,536585307,536585258,0,0,49
270,0,538587390,538587320,0,0,69
273,0,544593182,544593157,0,0,25
275,0,548598953,548598901,0,0,51
276,0,550601146,550601125,0,0,20
278,0,554605002,554604955,0,0,46
279,0,556607789,556607768,0,0,20
280,0,558610570,558610519,0,0,51
281,0,560613060,560613074,0,0,-13
282,0,562614563,562614554,0,0,8
283,0,564616793,564616738,0,0,55
285,0,568621164,568621198,0,0,-34
287,0,572626527,572626553,0,0,-26
288,0,574629524,574629546,0,0,-21
289,0,576630560,576630573,0,0,-13
290,0,578632597,578632592,0,0,5
293,0,584639172,584639226,0,0,-53
295,0,588643447,588643465,0,0,-17
296,0,590645690,590645725,0,0,-34
298,0,594650851,594650867,0,0,-15
299,0,596652835,596652844,0,0,-8
300,0,598654786,598654776,0,0,9
301,0,600656753,600656736,0,0,17
302,0,602659015,602659052,0,0,-36
303,0,604661368,604661340,0,0,27
305,0,608666153,608666168,0,0,-15
307,0,612670437,612670429,0,0,8
308,0,614672975,614672969,0,0,5
309,0,616674545,616674538,0,0,6
310,0,618676876,618676842,0,0,33
313,0,624683773,624683741,0,0,31
315,0,628688133,628688114,0,0,19
316,0,630690273,630690228,0,0,44
318,0,634694774,634694746,0,0,27
319,0,636697200,636697191,0,0,8
320,0,638699680,638699652,0,0,28
321,0,640701318,640701296,0,0,22
322,0,642704584,642704620,0,0,-36
323,0,644707547,644707509,0,0,38
325,0,648710303,648710293,0,0,10
327,0,652715622,652715591,0,0,31
328,0,654717002,654716992,0,0,10
329,0,656720257,656720233,0,0,23
330,0,658721886,658721856,0,0,30
333,0,664728006,664728023,0,0,-17
335,0,668732305,668732313,0,0,-8
336,0,670734779,670734836,0,0,-56
338,0,674739411,674739363,0,0,47
339,0,676741155,676741101,0,0,53
340,0,678743177,678743159,0,0,17
341,0,680746115,680746141,0,0,-26
342,0,682748276,682748298,0,0,-22
343,0,684750301,684750305,0,0,-4
345,0,688754530,688754555,0,0,-24
347,0,692761331,692761301,0,0,29
348,0,694761990,694761947,0,0,42
349,0,696764351,696764305,0,0,46
350,0,698765982,698765953,0,0,28
353,0,704772431,704772421,0,0,9
355,0,708776113,708776079,0,0,33
356,0,710779137,710779179,0,0,-41
