pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,15,0,0,0,15
2,0,2003944,2003912,0,0,31
3,0,3997090,3997071,0,0,19
4,0,5998404,5998357,0,0,47
5,0,8001057,8001030,0,0,26
6,0,10002004,10001978,0,0,25
7,0,12004721,12004678,0,0,42
8,0,14007840,14007812,0,0,28
9,0,16008984,16008943,0,0,40
10,0,18011123,18011043,0,0,79
11,0,20013457,20013424,0,0,33
12,0,22015633,22015612,0,0,21
13,0,24017791,24017746,0,0,45
14,0,26019861,26019826,0,0,35
15,0,28022238,28022262,0,0,-24
16,0,30024801,30024813,0,0,-12
17,0,32028822,32028836,0,0,-14
18,0,34029152,34029151,0,0,0
19,0,36031079,36031031,0,0,47
20,0,38033696,38033631,0,0,65
21,0,40036494,40036446,0,0,48
22,0,42037939,42037878,0,0,60
23,0,44040208,44040222,0,0,-13
24,0,46042204,46042194,0,0,10
25,0,48044516,48044527,0,0,-10
26,0,50046741,50046691,0,0,49
27,0,52049146,52049087,0,0,58
28,0,54051231,54051242,0,0,-11
29,0,56053495,56053528,0,0,-33
30,0,58055332,58055355,0,0,-22
31,0,60057901,60057876,0,0,24
32,0,62060387,62060364,0,0,23
33,0,64063526,64063501,0,0,25
34,0,66064314,66064251,0,0,62
35,0,68066604,68066580,0,0,23
36,0,70069055,70068997,0,0,57
37,0,72070887,72070849,0,0,38
38,0,74073170,74073141,0,0,29
39,0,76075250,76075278,0,0,-27
40,0,78077294,78077261,0,0,32
41,0,80079341,80079325,0,0,16
42,0,82081064,82081050,0,0,13
43,0,84083766,84083753,0,0,12
44,0,86085453,86085419,0,0,34
45,0,88088229,88088285,0,0,-55
46,0,90089568,90089600,0,0,-32
47,0,92092612,92092640,0,0,-28
48,0,94094106,94094140,0,0,-33
49,0,96097076,96097117,0,0,-41
50,0,98098637,98098629,0,0,8
51,0,100102279,100102310,0,0,-30
52,0,102104110,102104155,0,0,-44
53,0,104106017,104106062,0,0,-44
54,0,106107759,106107731,0,0,27
55,0,108112847,108112832,0,0,15
56,0,110113078,110113060,0,0,18
57,0,112115071,112115047,0,0,24
58,0,114116566,114116525,0,0,40
59,0,116119698,116119729,0,0,-31
60,0,118122043,118122070,0,0,-26
61,0,120123817,120123851,0,0,-33
62,0,122125119,122125159,0,0,-40
63,0,124127602,124127635,0,0,-33
64,0,126130742,126130720,0,0,22
65,0,128134389,128134352,0,0,37
66,0,130135294,130135289,0,0,4
67,0,132137349,132137362,0,0,-13
68,0,134139672,134139667,0,0,5
69,0,136141761,136141791,0,0,-29
70,0,138143532,138143473,0,0,59
71,0,140146120,140146065,0,0,55
72,0,142147688,142147647,0,0,41
73,0,144150970,144150992,0,0,-22
74,0,146153375,146153411,0,0,-36
75,0,148155650,148155666,0,0,-15
76,0,150158289,150158327,0,0,-38
77,0,152160226,152160180,0,0,45
78,0,154161878,154161835,0,0,43
79,0,156164355,156164384,0,0,-28
80,0,158165921,158165948,0,0,-26
81,0,160168960,160168912,0,0,47
82,0,162171073,162171003,0,0,69
83,0,164173593,164173556,0,0,36
84,0,166175112,166175033,0,0,78
85,0,168176158,168176134,0,0,24
86,0,170178558,170178514,0,0,43
87,0,172181195,172181166,0,0,29
88,0,174184408,174184388,0,0,19
89,0,176186204,176186178,0,0,26
90,0,178187634,178187554,0,0,80
91,0,180190711,180190667,0,0,43
92,0,182193214,182193218,0,0,-4
93,0,184195802,184195810,0,0,-8
94,0,186197759,186197721,0,0,38
95,0,188200023,188199982,0,0,41
96,0,190202241,190202186,0,0,55
97,0,192204986,192204939,0,0,46
98,0,194205552,194205572,0,0,-20
99,0,196208800,196208756,0,0,43
100,0,198210811,198210766,0,0,45
101,0,200213193,200213206,0,0,-13
102,0,202215509,202215472,0,0,36
103,0,204217883,204217889,0,0,-5
104,0,206219978,206219989,0,0,-11
105,0,208223449,208223483,0,0,-33
106,0,210224423,210224438,0,0,-14
107,0,212226365,212226393,0,0,-27
108,0,214228565,214228591,0,0,-26
109,0,216230514,216230478,0,0,35
110,0,218232011,218231990,0,0,21
111,0,220235232,220235197,0,0,34
112,0,222238341,222238372,0,0,-31
113,0,224240519,224240541,0,0,-22
114,0,226241638,226241611,0,0,26
115,0,228244265,228244285,0,0,-20
116,0,230246732,230246762,0,0,-30
117,0,232248442,232248479,0,0,-36
118,0,234250237,234250175,0,0,61
119,0,236253517,236253467,0,0,50
120,0,238255608,238255568,0,0,40
121,0,240258071,240258042,0,0,29
122,0,242259874,242259907,0,0,-32
123,0,244262006,244262032,0,0,-25
124,0,246264137,246264078,0,0,58
125,0,248266827,248266784,0,0,43
126,0,250268783,250268759,0,0,24
127,0,252271186,252271150,0,0,36
128,0,254273460,254273451,0,0,9
129,0,256277406,256277375,0,0,31
130,0,258278561,258278541,0,0,20
131,0,260281319,260281302,0,0,17
132,0,262283312,262283303,0,0,8
133,0,264284208,264284242,0,0,-33
134,0,266287016,266286983,0,0,33
135,0,268289189,268289155,0,0,34
136,0,270291919,270291840,0,0,78
137,0,272293188,272293150,0,0,38
138,0,274295703,274295670,0,0,32
139,0,276297628,276297606,0,0,21
140,0,278299852,278299782,0,0,69
141,0,280302430,280302386,0,0,43
142,0,282304521,282304496,0,0,25
143,0,284306511,284306463,0,0,47
144,0,286309139,286309095,0,0,43
145,0,288313130,288313096,0,0,34
146,0,290314170,290314135,0,0,35
147,0,292315737,292315721,0,0,15
148,0,294317786,294317748,0,0,38
149,0,296319858,296319830,0,0,28
150,0,298322616,298322578,0,0,38
151,0,300324724,300324697,0,0,26
152,0,302326535,302326477,0,0,58
153,0,304329166,304329123,0,0,42
154,0,306331061,306331003,0,0,58
155,0,308334665,308334623,0,0,42
156,0,310335503,310335431,0,0,71
157,0,312337652,312337614,0,0,38
158,0,314340421,314340435,0,0,-13
159,0,316342303,316342333,0,0,-29
160,0,318344838,318344901,0,0,-62
161,0,320347995,320348024,0,0,-29
162,0,322349062,322349007,0,0,55
163,0,324351645,324351610,0,0,35
164,0,326353764,326353774,0,0,-10
165,0,328355121,328355166,0,0,-45
166,0,330356928,330356968,0,0,-40
167,0,332360031,332360047,0,0,-15
168,0,334362257,334362264,0,0,-6
169,0,336364756,336364781,0,0,-24
170,0,338366759,338366779,0,0,-20
171,0,340368581,340368542,0,0,38
172,0,342369992,342369943,0,0,48
173,0,344372900,344372952,0,0,-52
174,0,346374573,346374523,0,0,50
175,0,348377640,348377595,0,0,44
176,0,350380877,350380839,0,0,38
177,0,352382975,352382963,0,0,12
178,0,354383824,354383840,0,0,-15
179,0,356386626,356386613,0,0,13
180,0,358388994,358388972,0,0,22
181,0,360391002,360390967,0,0,34
182,0,362393699,362393676,0,0,23
183,0,364396064,364396034,0,0,29
184,0,366398186,366398154,0,0,31
185,0,368399912,368399902,0,0,9
186,0,370402387,370402249,0,0,138
187,0,372404471,372404461,0,0,9
188,0,374407223,374407168,0,0,54
189,0,376408936,376408921,0,0,14
190,0,378410734,378410777,0,0,-42
191,0,380413047,380413085,0,0,-38
192,0,382414327,382414369,0,0,-42
193,0,384417663,384417705,0,0,-42
194,0,386420364,386420316,0,0,48
195,0,388421795,388421828,0,0,-32
196,0,390423784,390423821,0,0,-36
197,0,392426701,392426687,0,0,13
198,0,394429244,394429213,0,0,31
199,0,396430940,396430929,0,0,11
200,0,398433125,398433073,0,0,51
201,0,400434640,400434615,0,0,25
202,0,402437008,402436982,0,0,26
203,0,404440379,404440331,0,0,48
204,0,406442493,406442443,0,0,49
205,0,408445968,408445981,0,0,-13
206,0,410446990,410446958,0,0,31
207,0,412449069,412449030,0,0,39
208,0,414451579,414451546,0,0,32
209,0,416453121,416453065,0,0,56
210,0,418455775,418455716,0,0,58
211,0,420458039,420458020,0,0,19
212,0,422460335,422460323,0,0,12
213,0,424461835,424461867,0,0,-31
214,0,426463804,426463730,0,0,73
215,0,428466818,428466761,0,0,57
216,0,430469314,430469279,0,0,35
217,0,432471182,432471203,0,0,-21
218,0,434473548,434473570,0,0,-22
219,0,436475997,436475959,0,0,38
220,0,438478129,438478073,0,0,56
