pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,0,32,0,0,-32
2,0,1999408,1999445,0,0,-37
3,0,3991377,3991419,0,0,-41
4,0,5993607,5993622,0,0,-14
5,0,7995892,7995884,0,0,7
6,0,9998707,9998649,0,0,58
7,0,12000224,12000200,0,0,24
8,0,14002954,14002905,0,0,49
9,0,16004413,16004404,0,0,9
10,0,18005422,18005384,0,0,38
11,0,20007701,20007666,0,0,35
12,0,22010214,22010240,0,0,-25
13,0,24012850,24012859,0,0,-8
14,0,26015197,26015226,0,0,-29
15,0,28018941,28018903,0,0,38
16,0,30020455,30020433,0,0,22
17,0,32023797,32023809,0,0,-11
18,0,34024984,34025103,0,0,-119
19,0,36027238,36027251,0,0,-13
20,0,38030499,38030536,0,0,-36
21,0,40031840,40031861,0,0,-20
22,0,42033554,42033582,0,0,-28
23,0,44034676,44034698,0,0,-22
24,0,46037134,46037091,0,0,43
25,0,48040267,48040280,0,0,-13
26,0,50042269,50042288,0,0,-19
27,0,52043439,52043485,0,0,-45
28,0,54045716,54045729,0,0,-12
29,0,56048008,56047963,0,0,45
30,0,58050783,58050741,0,0,42
31,0,60053220,60053176,0,0,43
32,0,62054530,62054483,0,0,47
33,0,64056843,64056862,0,0,-18
34,0,66059949,66059982,0,0,-33
35,0,68062170,68062186,0,0,-15
36,0,70063528,70063563,0,0,-35
37,0,72065640,72065656,0,0,-15
38,0,74068256,74068278,0,0,-22
39,0,76070642,76070655,0,0,-13
40,0,78073619,78073659,0,0,-40
41,0,80074786,80074808,0,0,-22
42,0,82077084,82077084,0,0,0
43,0,84078987,84078953,0,0,33
44,0,86081530,86081564,0,0,-33
45,0,88083358,88083378,0,0,-20
46,0,90085723,90085752,0,0,-29
47,0,92087793,92087810,0,0,-16
48,0,94090148,94090165,0,0,-16
49,0,96092250,96092277,0,0,-26
50,0,98094509,98094519,0,0,-10
51,0,100097275,100097205,0,0,69
52,0,102099204,102099188,0,0,15
53,0,104100802,104100752,0,0,49
54,0,106102597,106102541,0,0,55
55,0,108105490,108105440,0,0,50
56,0,110107806,110107758,0,0,47
57,0,112109773,112109726,0,0,47
58,0,114112094,114112069,0,0,24
59,0,116115616,116115563,0,0,53
60,0,118116759,118116725,0,0,33
61,0,120118811,120118737,0,0,74
62,0,122120984,122120937,0,0,47
63,0,124123311,124123260,0,0,51
64,0,126125465,126125504,0,0,-39
65,0,128127829,128127879,0,0,-49
66,0,130129948,130129983,0,0,-35
67,0,132134155,132134122,0,0,32
68,0,134134753,134134806,0,0,-52
69,0,136136534,136136495,0,0,38
70,0,138139019,138139053,0,0,-34
71,0,140141865,140141894,0,0,-28
72,0,142144503,142144539,0,0,-36
73,0,144145477,144145489,0,0,-12
74,0,146147760,146147785,0,0,-24
75,0,148150773,148150787,0,0,-14
76,0,150153613,150153563,0,0,50
77,0,152153993,152153955,0,0,38
78,0,154156759,154156692,0,0,66
79,0,156159238,156159202,0,0,35
80,0,158161435,158161408,0,0,26
81,0,160163768,160163743,0,0,25
82,0,162166067,162166110,0,0,-42
83,0,164168544,164168503,0,0,41
84,0,166170394,166170386,0,0,8
85,0,168172116,168172100,0,0,15
86,0,170174474,170174447,0,0,26
87,0,172176496,172176506,0,0,-10
88,0,174178844,174178885,0,0,-41
89,0,176180673,176180725,0,0,-52
90,0,178183207,178183224,0,0,-16
91,0,180186472,180186532,0,0,-59
92,0,182187942,182188006,0,0,-64
93,0,184189325,184189356,0,0,-31
94,0,186191078,186191121,0,0,-42
95,0,188194370,188194358,0,0,11
96,0,190196739,190196727,0,0,11
97,0,192199067,192199040,0,0,27
98,0,194202316,194202294,0,0,22
99,0,196203982,196203944,0,0,37
100,0,198205373,198205354,0,0,18
101,0,200206677,200206712,0,0,-35
102,0,202210179,202210211,0,0,-31
103,0,204212328,204212353,0,0,-24
104,0,206214797,206214746,0,0,51
105,0,208216857,208216848,0,0,8
106,0,210218688,210218668,0,0,20
107,0,212220898,212220867,0,0,31
108,0,214222347,214222342,0,0,4
109,0,216225755,216225780,0,0,-24
110,0,218227708,218227740,0,0,-31
111,0,220229725,220229747,0,0,-22
112,0,222231896,222231885,0,0,11
113,0,224234727,224234712,0,0,14
114,0,226236724,226236735,0,0,-11
115,0,228238639,228238669,0,0,-29
116,0,230240402,230240444,0,0,-42
117,0,232245315,232245341,0,0,-26
118,0,234245696,234245835,0,0,-139
119,0,236248044,236248073,0,0,-29
120,0,238250429,238250465,0,0,-35
121,0,240251743,240251770,0,0,-26
122,0,242254031,242254075,0,0,-44
123,0,244256622,244256658,0,0,-36
124,0,246258814,246258860,0,0,-46
125,0,248260900,248260934,0,0,-34
126,0,250262379,250262348,0,0,31
127,0,252265952,252265977,0,0,-24
128,0,254269206,254269249,0,0,-42
129,0,256270550,256270597,0,0,-47
130,0,258271254,258271295,0,0,-40
131,0,260274410,260274434,0,0,-24
132,0,262276692,262276741,0,0,-49
133,0,264278600,264278626,0,0,-26
134,0,266280456,266280444,0,0,11
135,0,268283080,268283114,0,0,-34
136,0,270285685,270285708,0,0,-23
137,0,272288528,272288567,0,0,-38
138,0,274289462,274289502,0,0,-40
139,0,276292510,276292505,0,0,5
140,0,278294364,278294341,0,0,22
141,0,280297266,280297238,0,0,27
142,0,282299295,282299276,0,0,18
143,0,284301201,284301176,0,0,24
144,0,286303683,286303654,0,0,29
145,0,288305613,288305576,0,0,36
146,0,290308172,290308147,0,0,24
147,0,292309854,292309817,0,0,37
148,0,294311404,294311396,0,0,8
149,0,296314707,296314665,0,0,41
150,0,298316997,298316943,0,0,53
151,0,300318977,300319002,0,0,-24
152,0,302321893,302321920,0,0,-26
153,0,304323571,304323522,0,0,49
154,0,306326102,306326042,0,0,59
155,0,308328480,308328420,0,0,60
156,0,310329780,310329788,0,0,-8
157,0,312331946,312331962,0,0,-15
158,0,314333785,314333798,0,0,-13
159,0,316336907,316336921,0,0,-13
160,0,318339968,318339923,0,0,44
161,0,320342422,320342449,0,0,-26
162,0,322343318,322343296,0,0,21
163,0,324345866,324345816,0,0,49
164,0,326348498,326348482,0,0,16
165,0,328350186,328350143,0,0,42
166,0,330352917,330352890,0,0,26
167,0,332356314,332356276,0,0,37
168,0,334357151,334357176,0,0,-24
169,0,336358820,336358837,0,0,-16
170,0,338361748,338361775,0,0,-26
171,0,340363326,340363366,0,0,-39
172,0,342366110,342366078,0,0,31
173,0,344367626,344367602,0,0,24
174,0,346369370,346369386,0,0,-15
175,0,348372473,348372498,0,0,-25
176,0,350375559,350375582,0,0,-22
177,0,352376600,352376572,0,0,27
178,0,354378874,354378885,0,0,-11
179,0,356381370,356381397,0,0,-26
180,0,358383949,358383959,0,0,-9
181,0,360385388,360385357,0,0,31
182,0,362386858,362386815,0,0,42
183,0,364390568,364390531,0,0,37
184,0,366392460,366392507,0,0,-47
185,0,368394463,368394438,0,0,25
186,0,370398247,370398234,0,0,13
187,0,372400219,372400253,0,0,-33
188,0,374401451,374401462,0,0,-10
