pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,8,0,0,0,8
2,0,2004933,2004939,0,0,-5
3,0,3998634,3998664,0,0,-29
5,0,8001487,8001530,0,0,-42
7,0,12005550,12005532,0,0,17
8,0,14007098,14007053,0,0,44
9,0,16010189,16010152,0,0,36
10,0,18012608,18012583,0,0,25
13,0,24019198,24019240,0,0,-42
15,0,28023937,28023977,0,0,-39
16,0,30025959,30026000,0,0,-40
18,0,34032089,34032107,0,0,-17
19,0,36032781,36032753,0,0,27
20,0,38035330,38035324,0,0,5
21,0,40037343,40037325,0,0,17
22,0,42039065,42039050,0,0,15
23,0,44041202,44041174,0,0,28
25,0,48046364,48046356,0,0,8
27,0,52050375,52050348,0,0,27
28,0,54054135,54054092,0,0,43
29,0,56055029,56054985,0,0,44
30,0,58057339,58057313,0,0,26
33,0,64062659,64062629,0,0,29
35,0,68068542,68068571,0,0,-29
36,0,70071188,70071207,0,0,-19
38,0,74074800,74074784,0,0,16
39,0,76075411,76075387,0,0,23
40,0,78077952,78077907,0,0,44
41,0,80080771,80080734,0,0,37
42,0,82083655,82083640,0,0,14
43,0,84084618,84084579,0,0,39
45,0,88089680,88089671,0,0,9
47,0,92092992,92092977,0,0,15
48,0,94095318,94095308,0,0,9
49,0,96098383,96098374,0,0,8
50,0,98100832,98100826,0,0,5
53,0,104106772,104106772,0,0,0
55,0,108111215,108111170,0,0,44
56,0,110115029,110115015,0,0,13
58,0,114118348,114118294,0,0,53
59,0,116119895,116119885,0,0,9
60,0,118122412,118122451,0,0,-38
61,0,120124415,120124434,0,0,-18
62,0,122126714,122126700,0,0,13
63,0,124128833,124128788,0,0,44
65,0,128133280,128133254,0,0,26
67,0,132139573,132139556,0,0,17
68,0,134141247,134141323,0,0,-75
69,0,136142667,136142709,0,0,-42
70,0,138144339,138144361,0,0,-22
73,0,144151625,144151647,0,0,-21
75,0,148155988,148155955,0,0,33
76,0,150158130,150158140,0,0,-10
78,0,154163411,154163431,0,0,-20
79,0,156164271,156164299,0,0,-28
80,0,158166582,158166617,0,0,-35
81,0,160168869,160168912,0,0,-42
82,0,162171463,162171494,0,0,-30
83,0,164172839,164172867,0,0,-27
85,0,168177765,168177802,0,0,-36
87,0,172181878,172181953,0,0,-75
88,0,174184092,174184115,0,0,-22
89,0,176185696,176185729,0,0,-32
