pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,0,20,0,0,-20
2,0,2004206,2004237,0,0,-30
3,0,3996355,3996380,0,0,-25
4,0,5998179,5998157,0,0,22
5,0,8000897,8000859,0,0,38
6,0,10001562,10001519,0,0,42
7,0,12004034,12004013,0,0,21
8,0,14006213,14006185,0,0,27
9,0,16008098,16008121,0,0,-22
10,0,18010847,18010880,0,0,-32
11,0,20012590,20012614,0,0,-24
12,0,22015114,22015083,0,0,30
13,0,24017266,24017231,0,0,34
14,0,26019214,26019177,0,0,36
15,0,28022326,28022271,0,0,54
16,0,30024899,30024887,0,0,11
17,0,32027973,32028013,0,0,-40
18,0,34029314,34029287,0,0,26
19,0,36030412,36030393,0,0,19
20,0,38032837,38032810,0,0,26
21,0,40034872,40034829,0,0,42
22,0,42037571,42037503,0,0,68
23,0,44039692,44039694,0,0,-2
24,0,46041539,46041574,0,0,-34
25,0,48043786,48043754,0,0,31
26,0,50046244,50046196,0,0,47
27,0,52048092,52048079,0,0,12
28,0,54050346,54050306,0,0,39
29,0,56052977,56053008,0,0,-31
30,0,58054869,58054849,0,0,20
31,0,60057008,60057051,0,0,-42
32,0,62059375,62059325,0,0,49
33,0,64062434,64062386,0,0,47
34,0,66063637,66063592,0,0,44
35,0,68065805,68065755,0,0,50
36,0,70068567,70068541,0,0,25
37,0,72070410,72070429,0,0,-18
38,0,74072411,74072418,0,0,-6
39,0,76074773,76074732,0,0,40
40,0,78076962,78076941,0,0,21
41,0,80079085,80079155,0,0,-69
42,0,82081364,82081375,0,0,-11
43,0,84083655,84083698,0,0,-42
44,0,86085997,86086021,0,0,-24
45,0,88089140,88089149,0,0,-8
46,0,90091095,90091130,0,0,-35
47,0,92091925,92091904,0,0,21
48,0,94095312,94095278,0,0,34
49,0,96098064,96098042,0,0,21
50,0,98099084,98099042,0,0,41
51,0,100101308,100101273,0,0,35
52,0,102104393,102104365,0,0,28
53,0,104106231,104106197,0,0,33
54,0,106108139,106108063,0,0,75
55,0,108112722,108112691,0,0,31
56,0,110113588,110113565,0,0,22
57,0,112115103,112115050,0,0,53
58,0,114117115,114117153,0,0,-38
59,0,116118964,116118926,0,0,38
60,0,118120721,118120686,0,0,34
61,0,120124006,120123970,0,0,35
62,0,122125664,122125626,0,0,38
63,0,124127595,124127569,0,0,26
64,0,126130521,126130539,0,0,-17
65,0,128133353,128133322,0,0,31
66,0,130133706,130133606,0,0,99
67,0,132137578,132137548,0,0,29
68,0,134139072,134138998,0,0,74
69,0,136141368,136141343,0,0,25
70,0,138143582,138143543,0,0,39
71,0,140145859,140145807,0,0,51
72,0,142147722,142147744,0,0,-22
73,0,144149306,144149312,0,0,-6
74,0,146152766,146152728,0,0,38
75,0,148154662,148154692,0,0,-29
76,0,150156613,150156647,0,0,-34
77,0,152158315,152158352,0,0,-36
78,0,154161298,154161242,0,0,56
79,0,156162184,156162429,0,0,-244
80,0,158164874,158164846,0,0,27
81,0,160167862,160167833,0,0,29
82,0,162169581,162169537,0,0,44
83,0,164172541,164172494,0,0,47
84,0,166174978,166174913,0,0,65
85,0,168177069,168177038,0,0,30
86,0,170179116,170179060,0,0,55
87,0,172181503,172181475,0,0,28
88,0,174184085,174184035,0,0,50
89,0,176185822,176185791,0,0,31
90,0,178187941,178187931,0,0,9
91,0,180189424,180189393,0,0,31
