pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,19,0,0,0,19
2,0,2003126,2003117,0,0,8
3,0,3994003,3993962,0,0,40
4,0,5995752,5995726,0,0,25
5,0,7997422,7997391,0,0,31
6,0,10000404,10000380,0,0,24
7,0,12002764,12002786,0,0,-22
8,0,14003699,14003729,0,0,-29
9,0,16006134,16006177,0,0,-42
10,0,18008067,18008030,0,0,37
11,0,20010492,20010460,0,0,31
12,0,22012938,22012930,0,0,8
13,0,24015029,24015012,0,0,17
14,0,26017009,26017064,0,0,-54
15,0,28019349,28019388,0,0,-39
16,0,30021728,30021739,0,0,-10
17,0,32023878,32023910,0,0,-32
18,0,34025942,34026011,0,0,-68
19,0,36028937,36028975,0,0,-38
20,0,38032465,38032492,0,0,-26
21,0,40033294,40033368,0,0,-73
22,0,42036157,42036182,0,0,-25
23,0,44039872,44039909,0,0,-36
24,0,46040937,46040928,0,0,8
25,0,48043731,48043693,0,0,38
26,0,50045915,50045905,0,0,9
27,0,52046270,52046253,0,0,17
28,0,54049297,54049275,0,0,22
29,0,56051521,56051564,0,0,-42
30,0,58054026,58054000,0,0,26
31,0,60055925,60055896,0,0,29
32,0,62057660,62057723,0,0,-62
33,0,64060498,64060468,0,0,30
34,0,66061947,66061919,0,0,27
35,0,68065854,68065795,0,0,59
36,0,70066965,70066980,0,0,-15
37,0,72068027,72068052,0,0,-24
38,0,74070422,74070438,0,0,-15
39,0,76072891,76072851,0,0,40
40,0,78076588,78076573,0,0,15
41,0,80078170,80078197,0,0,-26
42,0,82079182,82079223,0,0,-40
43,0,84081182,84081148,0,0,33
44,0,86083520,86083510,0,0,10
45,0,88085993,88086010,0,0,-16
46,0,90088238,90088272,0,0,-34
47,0,92090253,92090273,0,0,-20
48,0,94092638,94092649,0,0,-11
49,0,96095153,96095136,0,0,17
50,0,98097089,98097079,0,0,9
51,0,100099349,100099307,0,0,42
52,0,102101613,102101577,0,0,35
53,0,104104076,104104110,0,0,-33
54,0,106106206,106106263,0,0,-56
55,0,108107764,108107793,0,0,-28
56,0,110111036,110111006,0,0,29
57,0,112113750,112113741,0,0,8
58,0,114114875,114114865,0,0,10
59,0,116117706,116117681,0,0,24
60,0,118119098,118119077,0,0,20
61,0,120122022,120122007,0,0,15
62,0,122123953,122123960,0,0,-6
63,0,124125419,124125404,0,0,15
64,0,126126891,126126920,0,0,-29
65,0,128130269,128130314,0,0,-44
66,0,130132162,130132157,0,0,5
67,0,132134463,132134498,0,0,-34
68,0,134136691,134136720,0,0,-29
69,0,136139102,136139127,0,0,-24
70,0,138141678,138141741,0,0,-62
71,0,140143286,140143312,0,0,-25
72,0,142145296,142145321,0,0,-24
73,0,144149287,144149321,0,0,-34
74,0,146150195,146150169,0,0,25
75,0,148152932,148152902,0,0,30
76,0,150154811,150154818,0,0,-7
77,0,152157345,152157320,0,0,24
78,0,154160478,154160465,0,0,13
79,0,156160973,156160956,0,0,17
80,0,158163265,158163314,0,0,-48
81,0,160166552,160166588,0,0,-36
82,0,162168004,162167998,0,0,6
83,0,164170239,164170211,0,0,28
84,0,166172981,166173024,0,0,-42
85,0,168174914,168174885,0,0,29
86,0,170177469,170177464,0,0,5
87,0,172179078,172179068,0,0,9
88,0,174182038,174182024,0,0,14
89,0,176183650,176183689,0,0,-39
90,0,178185834,178185891,0,0,-56
91,0,180188129,180188168,0,0,-39
92,0,182190262,182190302,0,0,-39
93,0,184193284,184193256,0,0,27
94,0,186196343,186196330,0,0,13
95,0,188196988,188197013,0,0,-24
96,0,190199826,190199873,0,0,-47
97,0,192201643,192201678,0,0,-34
98,0,194204551,194204586,0,0,-35
99,0,196206272,196206292,0,0,-19
100,0,198207856,198207829,0,0,26
101,0,200210670,200210638,0,0,31
102,0,202212555,202212534,0,0,20
103,0,204214344,204214381,0,0,-36
104,0,206216592,206216710,0,0,-118
105,0,208220200,208220248,0,0,-48
106,0,210222361,210222350,0,0,11
107,0,212223857,212223829,0,0,27
108,0,214225574,214225559,0,0,15
109,0,216227392,216227371,0,0,20
110,0,218230456,218230408,0,0,47
111,0,220232362,220232377,0,0,-15
112,0,222234894,222234842,0,0,51
113,0,224237170,224237197,0,0,-26
114,0,226239180,226239197,0,0,-16
115,0,228241599,228241625,0,0,-26
116,0,230243688,230243729,0,0,-40
117,0,232246692,232246721,0,0,-28
118,0,234248413,234248450,0,0,-36
119,0,236250424,236250460,0,0,-35
120,0,238253031,238253052,0,0,-21
121,0,240254988,240255022,0,0,-33
122,0,242257892,242257934,0,0,-41
123,0,244261578,244261551,0,0,26
124,0,246261727,246261748,0,0,-21
125,0,248263793,248263753,0,0,39
126,0,250266026,250266061,0,0,-34
127,0,252268187,252268214,0,0,-26
128,0,254270345,254270285,0,0,59
129,0,256272423,256272388,0,0,35
130,0,258274977,258274960,0,0,16
131,0,260277701,260277642,0,0,58
132,0,262279292,262279226,0,0,65
133,0,264281584,264281521,0,0,63
134,0,266283534,266283549,0,0,-15
135,0,268286076,268286009,0,0,66
136,0,270288332,270288319,0,0,13
137,0,272291458,272291467,0,0,-9
138,0,274292612,274292631,0,0,-19
139,0,276294881,276294806,0,0,75
140,0,278297176,278297182,0,0,-6
141,0,280299146,280299156,0,0,-10
142,0,282301462,282301478,0,0,-16
