pkt_id,tx_ts_ns,rx1_ts_ns,rx2_ts_ns,latency_rx1_ns,latency_rx2_ns,diff_latency_ns
1,0,734,0,0,0,734
2,0,2003065,2002681,0,0,383
3,0,3996133,3995734,0,0,399
4,0,5998395,5998013,0,0,382
5,0,8000375,7999984,0,0,390
6,0,10002202,10001801,0,0,400
7,0,12004001,12003617,0,0,384
8,0,14006737,14006383,0,0,353
9,0,16008463,16008064,0,0,399
10,0,18011683,18011311,0,0,371
11,0,20013743,20013345,0,0,397
12,0,22016385,22016017,0,0,368
13,0,24018498,24018096,0,0,402
14,0,26020820,26020419,0,0,400
15,0,28022853,28022442,0,0,411
16,0,30024898,30024503,0,0,395
17,0,32027092,32026682,0,0,409
18,0,34029145,34028739,0,0,406
19,0,36032744,36032348,0,0,395
20,0,38034195,38033806,0,0,388
21,0,40035587,40035208,0,0,379
22,0,42037332,42036937,0,0,395
23,0,44040325,44039920,0,0,404
24,0,46042867,46042471,0,0,395
25,0,48044705,48044307,0,0,397
26,0,50045918,50045527,0,0,391
27,0,52048119,52047728,0,0,391
28,0,54050562,54050175,0,0,386
29,0,56054091,56053684,0,0,406
30,0,58056107,58055717,0,0,389
31,0,60058642,60058010,0,0,631
32,0,62060842,62060437,0,0,405
33,0,64062563,64062184,0,0,379
34,0,66063886,66063521,0,0,365
35,0,68068582,68068197,0,0,385
36,0,70069165,70068827,0,0,337
37,0,72071024,72070651,0,0,372
38,0,74072393,74072020,0,0,372
39,0,76075195,76074822,0,0,373
40,0,78078319,78077979,0,0,339
41,0,80080335,80079970,0,0,365
42,0,82081116,82080775,0,0,340
43,0,84083541,84083165,0,0,375
44,0,86085141,86084779,0,0,361
45,0,88088591,88088224,0,0,366
46,0,90091652,90091177,0,0,474
47,0,92093927,92093569,0,0,357
48,0,94095625,94095285,0,0,339
49,0,96096811,96096427,0,0,384
50,0,98099146,98098757,0,0,388
51,0,100101597,100101224,0,0,373
52,0,102103912,102103543,0,0,369
53,0,104105518,104105146,0,0,372
54,0,106108003,106107624,0,0,379
55,0,108110899,108110510,0,0,388
56,0,110112429,110112060,0,0,368
57,0,112114150,112113775,0,0,375
58,0,114116914,114116550,0,0,363
59,0,116119132,116118749,0,0,382
60,0,118121216,118120851,0,0,364
61,0,120123555,120123163,0,0,392
62,0,122125263,122124880,0,0,382
63,0,124128011,124127620,0,0,391
64,0,126130523,126130125,0,0,397
65,0,128132342,128131957,0,0,385
66,0,130134566,130134222,0,0,343
67,0,132137617,132137222,0,0,395
68,0,134140278,134139925,0,0,353
69,0,136141515,136141132,0,0,383
70,0,138144115,138143712,0,0,402
71,0,140146397,140146017,0,0,379
72,0,142148501,142148134,0,0,367
73,0,144152213,144151812,0,0,400
74,0,146152568,146152205,0,0,362
75,0,148154596,148154223,0,0,373
76,0,150157231,150156896,0,0,335
77,0,152158608,152158239,0,0,368
78,0,154161645,154161290,0,0,355
79,0,156163729,156163339,0,0,389
80,0,158165637,158165262,0,0,374
81,0,160168388,160168022,0,0,365
82,0,162170473,162170099,0,0,373
83,0,164174613,164174233,0,0,379
84,0,166176576,166176220,0,0,356
85,0,168178152,168177770,0,0,381
86,0,170179184,170178786,0,0,398
87,0,172181646,172181253,0,0,392
88,0,174183543,174183160,0,0,382
89,0,176185851,176185481,0,0,369
90,0,178188216,178187834,0,0,382
91,0,180191887,180191485,0,0,402
92,0,182192582,182192211,0,0,370
93,0,184194635,184194269,0,0,366
94,0,186197361,186196943,0,0,417
95,0,188200159,188199780,0,0,379
96,0,190201458,190201079,0,0,379
97,0,192203502,192203105,0,0,397
98,0,194205929,194205525,0,0,404
99,0,196207942,196207531,0,0,411
100,0,198209932,198209606,0,0,326
101,0,200211939,200211514,0,0,424
102,0,202213902,202213496,0,0,406
103,0,204216649,204216232,0,0,416
104,0,206219164,206218757,0,0,406
105,0,208221006,208220587,0,0,419
106,0,210223789,210223350,0,0,438
107,0,212225694,212225258,0,0,435
108,0,214228391,214227872,0,0,519
109,0,216230472,216230056,0,0,415
110,0,218234001,218233595,0,0,406
111,0,220235296,220234856,0,0,440
112,0,222237478,222237073,0,0,404
113,0,224239857,224239448,0,0,408
114,0,226241436,226241064,0,0,372
115,0,228244235,228243839,0,0,395
116,0,230246266,230245879,0,0,386
117,0,232247205,232246799,0,0,406
118,0,234250361,234249972,0,0,389
119,0,236252386,236251994,0,0,392
120,0,238254408,238254021,0,0,387
121,0,240256562,240256175,0,0,387
122,0,242259307,242258892,0,0,415
123,0,244261255,244260851,0,0,404
124,0,246263988,246263329,0,0,658
125,0,248265326,248264919,0,0,406
126,0,250266892,250266483,0,0,408
127,0,252270022,252269623,0,0,399
128,0,254273244,254272848,0,0,395
129,0,256274759,256274370,0,0,389
130,0,258277221,258276822,0,0,399
131,0,260278847,260278464,0,0,382
132,0,262281271,262280885,0,0,386
133,0,264283519,264283123,0,0,395
